posteam,epa
IND,3.63019091344904
MIA,-5.39762207341846
IND,1.36074981838465
IND,1.36177123803645
MIA,-0.569155352190137
MIA,1.30666779913008
MIA,2.20567049784586
MIA,-1.36454145680182
MIA,0.0663610883057118
MIA,-1.9498675877694
IND,-0.111998161533847
IND,0.618171457666904
IND,-0.486061742063612
IND,-0.276877885917202
IND,-0.63103994098492
IND,-0.447399283992127
IND,-0.573867687606253
IND,1.80521925893845
IND,-1.32588102651062
IND,1.83265158301219
MIA,0.21986767067574
MIA,0.0010141714010387
MIA,-0.489971183007583
MIA,-0.0060973004437983
MIA,-4.25034089526162
IND,2.38832548819482
IND,0.0809178888448514
IND,-0.252299143467098
IND,-1.29305585475313
MIA,1.37303393450566
MIA,-0.140046994201839
MIA,0.0065635696519166
MIA,-0.672100011957809
MIA,-1.28623253013939
MIA,-3.53761102713179
IND,0.986602830933407
IND,-1.84857251541689
IND,1.23744685552083
MIN,0.231541554443538
MIN,-1.84994160011411
CHI,-0.356094175716862
CHI,0.97112973430194
CHI,1.0682970455382
CHI,0.0538613378303126
CHI,2.09515456546796
CHI,0.387460188998375
CHI,2.81725994177396
MIN,-1.64289871766232
CHI,-0.571202591992915
CHI,1.38912964588963
CHI,0.274476924678311
CHI,-2.25680250558071
MIN,0.655826711212285
MIN,-0.822055401237726
CHI,1.74365778022911
CHI,0.547525990055874
CHI,-3.51264830207219
MIN,-0.109845864120871
MIN,-0.68319839076139
CHI,-0.462340343045071
CHI,-0.635145602049306
CHI,-0.972843869589269
MIN,-0.484319478506222
MIN,-0.630565977422521
MIN,-0.0770327436039224
CHI,1.49562612152658
CHI,1.0288327394519
CHI,-0.627287664134272
MIN,0.892314169028859
CHI,-0.593236595392227
CHI,-0.815430222079158
CHI,-1.39789587212726
MIN,-9.65810915071052
MIN,-1.60792929120362
CHI,2.13084289105609
CHI,-0.979480431415141
CHI,-0.959946963470429
CHI,-0.858276515733451
MIN,-0.355449473485351
MIN,0.30217989301309
MIN,-1.66634858981706
CHI,1.2017104633851
CHI,-0.535197123652324
CHI,-1.73487438226584
CHI,0.478734794787416
MIN,1.16174601949751
MIN,-0.734092484402936
MIN,2.88346595788607
MIN,-0.947
CHI,-1.44706945144571
CHI,-0.897152528632432
MIN,-0.567551625426859
