team,week,season,n_games,n_plays,n_dropbacks,n_rushes,epa_per_play,epa_per_dropback,epa_per_rush,success_rate,def_epa_per_play,def_epa_per_dropback,def_epa_per_rush,def_success_rate_allowed
DAL,16,2025,1,52,33,19,0.13752,0.38138,-0.28602,0.48077,-0.47987,-0.75966,-0.02337,0.60000
DAL,17,2025,1,80,44,36,0.24478,0.26889,0.21532,0.48750,-0.19653,-0.16512,-0.25487,0.42500
DAL,18,2025,1,47,22,25,-0.10265,-0.23975,0.01801,0.46809,-0.12077,-0.22721,0.05340,0.46552
DEN,1,2025,1,59,37,22,-0.14392,-0.21404,-0.02598,0.42373,0.38429,0.34859,0.43699,0.25000
DEN,2,2025,1,54,32,22,0.19182,0.32666,-0.00432,0.46296,-0.15012,-0.29983,0.04604,0.49254
DEN,3,2025,1,47,32,15,-0.04619,-0.04708,-0.04431,0.27660,0.03864,0.04266,0.03077,0.40000
DEN,4,2025,1,59,39,20,0.23938,0.33548,0.05198,0.50847,0.20777,0.29811,0.03462,0.37143
DEN,5,2025,1,71,44,27,0.07153,0.14019,-0.04037,0.49296,-0.00316,-0.01107,0.03637,0.38889
DEN,6,2025,1,55,33,22,-0.08565,0.02615,-0.25335,0.34545,0.42066,0.73126,0.09897,0.24561
DEN,7,2025,1,62,41,21,0.00043,-0.11388,0.22362,0.37097,-0.20642,-0.35074,-0.02841,0.35821
DEN,8,2025,1,38,20,18,0.35663,0.32704,0.38951,0.60526,-0.05521,-0.07742,-0.01967,0.50000
DEN,9,2025,1,62,40,22,-0.09000,-0.04087,-0.17932,0.32258,0.14950,0.03335,0.36786,0.29167
DEN,10,2025,1,54,30,24,-0.26618,-0.35252,-0.15825,0.38889,0.39006,0.48807,0.24090,0.32759
DEN,11,2025,1,60,41,19,0.03275,0.11485,-0.14443,0.45000,-0.04536,-0.01673,-0.15325,0.43548
DEN,13,2025,1,69,48,21,0.18287,0.24293,0.04557,0.44928,-0.07272,-0.04509,-0.12609,0.41176
DEN,14,2025,1,48,32,16,0.24218,0.27009,0.18635,0.58333,0.24484,0.26168,0.19938,0.32432
DEN,15,2025,1,58,34,24,0.25098,0.61249,-0.26115,0.53448,-0.06106,-0.16294,0.19661,0.43333
DEN,16,2025,1,45,30,15,0.00980,0.11653,-0.20366,0.48889,-0.27461,-0.45368,0.11711,0.45098
DEN,17,2025,1,70,44,26,0.09653,0.16432,-0.01818,0.51429,0.19946,0.33846,0.00322,0.29268
DEN,18,2025,1,47,28,19,-0.23201,-0.14386,-0.36191,0.34043,0.56782,0.81297,0.09284,0.25532
DET,1,2025,1,47,27,20,-0.07569,0.04207,-0.23465,0.42553,-0.24834,-0.45751,0.08037,0.41667
DET,2,2025,1,48,26,22,0.41304,0.63339,0.15262,0.56250,0.25335,0.08456,0.55930,0.35556
DET,3,2025,1,62,27,35,0.32088,0.46690,0.20824,0.58065,0.02285,-0.16514,0.39883,0.47917
DET,4,2025,1,40,22,18,-0.19886,-0.23262,-0.15760,0.40000,0.26786,0.40506,0.07454,0.30189
DET,5,2025,1,44,22,22,0.27293,0.51236,0.03350,0.52273,0.40350,0.48313,0.19116,0.36364
DET,6,2025,1,49,27,22,0.18459,0.40643,-0.08766,0.55102,-0.31505,-0.39753,-0.10882,0.57143
DET,7,2025,1,56,31,25,-0.02937,-0.15393,0.12509,0.41071,0.49498,0.64709,-0.08300,0.31250
DET,9,2025,1,62,42,20,-0.00708,0.09830,-0.22838,0.35484,-0.04314,0.05151,-0.16249,0.44231
DET,10,2025,1,56,32,24,0.53366,0.77796,0.20793,0.58929,-0.12094,-0.29656,0.10957,0.48649
DET,11,2025,1,57,37,20,-0.45171,-0.44232,-0.46909,0.33333,0.14537,0.32279,-0.06616,0.40351
DET,12,2025,1,63,43,20,0.14839,-0.14428,0.77764,0.50794,-0.11667,-0.43643,0.22037,0.36842
DET,13,2025,1,60,31,29,0.03874,0.33560,-0.27859,0.41667,-0.27013,-0.47811,-0.02055,0.49091
DET,14,2025,1,54,35,19,0.30054,0.34851,0.21216,0.48148,-0.00946,-0.01015,-0.00798,0.43478
DET,15,2025,1,49,31,18,0.16000,0.36955,-0.20089,0.34694,-0.20528,-0.13680,-0.31486,0.61538
DET,16,2025,1,65,54,11,0.07696,0.16602,-0.36023,0.41538,-0.21175,-0.11041,-0.39414,0.41429
DET,17,2025,1,60,30,30,-0.47807,-0.23162,-0.72451,0.30000,0.30283,0.72073,-0.17477,0.28889
DET,18,2025,1,72,45,27,0.14435,0.21318,0.02963,0.54167,0.01936,0.05394,-0.04980,0.44444
GB,1,2025,1,36,22,14,0.24834,0.45751,-0.08037,0.41667,0.07569,-0.04207,0.23465,0.42553
GB,2,2025,1,55,31,24,0.26848,0.38365,0.11972,0.56364,0.21620,0.26668,0.07736,0.31111
GB,3,2025,1,60,31,29,-0.07904,-0.03154,-0.12981,0.36667,0.15162,0.24796,-0.03599,0.28571
GB,4,2025,1,78,46,32,0.34133,0.52534,0.07682,0.55128,-0.35807,-0.54709,-0.05998,0.55224
GB,6,2025,1,56,30,26,0.23592,0.32327,0.13513,0.58929,-0.01235,-0.04356,0.05630,0.45833
GB,7,2025,1,52,33,19,0.11763,0.25017,-0.11258,0.50000,0.05221,-0.04699,0.24235,0.41429
GB,8,2025,1,50,33,17,0.45018,0.72514,-0.08357,0.56000,0.19962,0.28328,0.06949,0.36957
GB,9,2025,1,63,38,25,0.04252,0.15526,-0.12884,0.50794,-0.09464,-0.01115,-0.15658,0.50000
GB,10,2025,1,65,41,24,-0.17316,-0.17924,-0.16277,0.38462,0.06004,-0.27816,0.38696,0.33898
GB,11,2025,1,49,29,20,0.37609,0.42193,0.30961,0.51020,-0.15556,-0.21657,-0.10610,0.47761
GB,12,2025,1,50,19,31,0.09190,0.33896,-0.05952,0.50000,0.26613,0.42822,0.11304,0.40000
GB,13,2025,1,55,30,25,0.27013,0.47811,0.02055,0.49091,-0.03874,-0.33560,0.27859,0.41667
GB,14,2025,1,51,26,25,0.23984,0.30874,0.16819,0.52941,-0.10808,-0.05384,-0.17860,0.52174
GB,15,2025,1,60,43,17,0.06106,0.16294,-0.19661,0.43333,-0.25098,-0.61249,0.26115,0.53448
GB,16,2025,1,68,31,37,0.06088,0.38150,-0.20774,0.50000,-0.10064,-0.23791,0.12020,0.46667
GB,17,2025,1,37,28,9,0.19687,0.57450,-0.97798,0.54054,-0.37067,-0.40987,-0.34655,0.60317
GB,18,2025,1,35,12,23,-0.44653,-0.90979,-0.20483,0.31429,-0.03472,-0.21404,0.18537,0.46939
HOU,1,2025,1,57,34,23,-0.13239,-0.13742,-0.12497,0.36842,0.07477,-0.00802,0.19699,0.40385
HOU,2,2025,1,46,31,15,-0.06539,-0.08363,-0.02770,0.39130,-0.13464,-0.10108,-0.19180,0.52055
HOU,3,2025,1,57,42,15,-0.20689,-0.18833,-0.25884,0.31579,0.16326,0.18427,0.12222,0.36923
HOU,4,2025,1,54,29,25,0.10653,0.12897,0.08049,0.42593,0.26469,0.35231,0.11643,0.31429
HOU,5,2025,1,46,26,20,0.46326,0.65833,0.20968,0.67391,0.14657,-0.02658,0.35684,0.38710
HOU,7,2025,1,46,33,13,-0.45008,-0.33022,-0.75436,0.34783,0.07639,0.03508,0.12896,0.42000
HOU,8,2025,1,66,40,26,0.29751,0.58007,-0.13720,0.51515,0.02851,0.00886,0.09238,0.35294
HOU,9,2025,1,72,47,25,-0.14950,-0.03335,-0.36786,0.29167,0.09000,0.04087,0.17932,0.32258
HOU,10,2025,1,63,43,20,0.03292,0.01462,0.07226,0.49206,0.23557,0.23603,0.23491,0.37500
HOU,11,2025,1,68,47,21,-0.06697,-0.00712,-0.20092,0.41176,0.11977,-0.00294,0.49667,0.36842
HOU,12,2025,1,55,31,24,-0.06426,-0.17542,0.07932,0.41818,0.16421,0.27405,-0.08291,0.36923
HOU,13,2025,1,68,37,31,0.03767,0.20529,-0.16238,0.44118,0.11633,-0.02218,0.28495,0.37255
HOU,14,2025,1,61,35,26,-0.08553,0.00144,-0.20262,0.32787,0.30167,0.46253,0.01652,0.36066
HOU,15,2025,1,43,24,19,0.33778,0.53033,0.09456,0.55814,-0.05844,-0.03318,-0.10004,0.51111
HOU,16,2025,1,59,36,23,-0.15859,0.06575,-0.50973,0.37288,0.04248,-0.06386,0.14488,0.37736
HOU,17,2025,1,59,28,31,-0.15143,-0.16881,-0.13573,0.38983,0.21531,0.14753,0.38275,0.32203
HOU,18,2025,1,63,33,30,-0.01890,-0.03033,-0.00633,0.44444,0.07294,-0.04134,0.23997,0.37500
IND,1,2025,1,56,32,24,0.28305,0.35392,0.18857,0.53571,0.58955,0.83494,-0.14664,0.39286
IND,2,2025,1,67,38,29,0.15012,0.29983,-0.04604,0.49254,-0.19182,-0.32666,0.00432,0.46296
IND,3,2025,1,41,26,15,0.42190,0.46270,0.35119,0.56098,0.22374,0.35101,-0.00833,0.43750
IND,4,2025,1,55,35,20,-0.09277,-0.10325,-0.07442,0.45455,-0.07704,-0.32949,0.45190,0.52308
