Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status
WR,Malik Benson (44248304),Malik Benson,44248304,WR/FLEX,3000,LV@NO 09/27/2026 04:25PM ET,LV,0.4,
WR,Dareke Young (44248306),Dareke Young,44248306,WR/FLEX,3000,LV@NO 09/27/2026 04:25PM ET,LV,1.9,Q
WR,Dont'e Thornton Jr. (44248308),Dont'e Thornton Jr.,44248308,WR/FLEX,3000,LV@NO 09/27/2026 04:25PM ET,LV,0,IR
WR,Justin Shorter (44248310),Justin Shorter,44248310,WR/FLEX,3000,LV@NO 09/27/2026 04:25PM ET,LV,0,IR
WR,Corey Rucker (44248312),Corey Rucker,44248312,WR/FLEX,3000,LV@NO 09/27/2026 04:25PM ET,LV,0,IR
WR,Ronnie Bell (44248314),Ronnie Bell,44248314,WR/FLEX,3000,LV@NO 09/27/2026 04:25PM ET,LV,0,
WR,Deven Thompkins (44248316),Deven Thompkins,44248316,WR/FLEX,3000,LV@NO 09/27/2026 04:25PM ET,LV,0,
WR,KhaDarel Hodge (44248318),KhaDarel Hodge,44248318,WR/FLEX,3000,ARI@SF 09/27/2026 04:05PM ET,SF,1.4,
WR,Christian Kirk (44248320),Christian Kirk,44248320,WR/FLEX,3000,ARI@SF 09/27/2026 04:05PM ET,SF,0,IR
WR,De'Zhaun Stribling (44248322),De'Zhaun Stribling,44248322,WR/FLEX,3000,ARI@SF 09/27/2026 04:05PM ET,SF,0,IR
WR,Ricky Pearsall (44248324),Ricky Pearsall,44248324,WR/FLEX,3000,ARI@SF 09/27/2026 04:05PM ET,SF,0,IR
WR,Will Pauling (44248326),Will Pauling,44248326,WR/FLEX,3000,ARI@SF 09/27/2026 04:05PM ET,SF,0,
WR,Wesley Grimes (44248328),Wesley Grimes,44248328,WR/FLEX,3000,ARI@SF 09/27/2026 04:05PM ET,SF,0,
WR,Brandon Aiyuk (44248330),Brandon Aiyuk,44248330,WR/FLEX,3000,ARI@SF 09/27/2026 04:05PM ET,SF,0,OUT
WR,Jalen Brooks (44248332),Jalen Brooks,44248332,WR/FLEX,3000,ARI@SF 09/27/2026 04:05PM ET,ARI,0,
WR,Simi Fehoko (44248334),Simi Fehoko,44248334,WR/FLEX,3000,ARI@SF 09/27/2026 04:05PM ET,ARI,0,
WR,Devin Duvernay (44248336),Devin Duvernay,44248336,WR/FLEX,3000,ARI@SF 09/27/2026 04:05PM ET,ARI,0,
WR,Reggie Virgil (44248338),Reggie Virgil,44248338,WR/FLEX,3000,ARI@SF 09/27/2026 04:05PM ET,ARI,0,
WR,Harrison Wallace III (44248340),Harrison Wallace III,44248340,WR/FLEX,3000,ARI@SF 09/27/2026 04:05PM ET,ARI,0,
WR,Jaylin Lane (44248342),Jaylin Lane,44248342,WR/FLEX,3000,SEA@WAS 09/27/2026 01:00PM ET,WAS,0.7,Q
WR,Treylon Burks (44248344),Treylon Burks,44248344,WR/FLEX,3000,SEA@WAS 09/27/2026 01:00PM ET,WAS,0,
WR,Luke McCaffrey (44248346),Luke McCaffrey,44248346,WR/FLEX,3000,SEA@WAS 09/27/2026 01:00PM ET,WAS,0,
WR,River Cracraft (44248348),River Cracraft,44248348,WR/FLEX,3000,SEA@WAS 09/27/2026 01:00PM ET,WAS,0,Q
WR,Jaden Bradley (44248350),Jaden Bradley,44248350,WR/FLEX,3000,SEA@WAS 09/27/2026 01:00PM ET,WAS,0,
WR,Van Jefferson (44248352),Van Jefferson,44248352,WR/FLEX,3000,SEA@WAS 09/27/2026 01:00PM ET,WAS,0,
WR,Tory Horton (44248354),Tory Horton,44248354,WR/FLEX,3000,SEA@WAS 09/27/2026 01:00PM ET,SEA,0,
WR,Montorie Foster Jr. (44248356),Montorie Foster Jr.,44248356,WR/FLEX,3000,SEA@WAS 09/27/2026 01:00PM ET,SEA,0,
WR,Irvin Charles (44248358),Irvin Charles,44248358,WR/FLEX,3000,SEA@WAS 09/27/2026 01:00PM ET,SEA,0,IR
WR,Jake Bobo (44248360),Jake Bobo,44248360,WR/FLEX,3000,SEA@WAS 09/27/2026 01:00PM ET,SEA,0,IR
WR,Julian Hicks (44248362),Julian Hicks,44248362,WR/FLEX,3000,SEA@WAS 09/27/2026 01:00PM ET,SEA,0,
WR,Ricky White III (44248364),Ricky White III,44248364,WR/FLEX,3000,SEA@WAS 09/27/2026 01:00PM ET,SEA,0,
WR,Emmanuel Henderson Jr. (44248366),Emmanuel Henderson Jr.,44248366,WR/FLEX,3000,SEA@WAS 09/27/2026 01:00PM ET,SEA,0,
WR,Braxton Berrios (44248368),Braxton Berrios,44248368,WR/FLEX,3000,TEN@NYG 09/27/2026 01:00PM ET,NYG,0,
WR,Calvin Austin III (44248370),Calvin Austin III,44248370,WR/FLEX,3000,TEN@NYG 09/27/2026 01:00PM ET,NYG,0,IR
WR,Gunner Olszewski (44248372),Gunner Olszewski,44248372,WR/FLEX,3000,TEN@NYG 09/27/2026 01:00PM ET,NYG,0,IR
